img,doctor,experience,top_model,weight
Patient01124_Plane3_2_of_4.png,Doc_A,senior,M2,0.25
Patient01124_Plane3_2_of_4.png,Doc_A,senior,M3,0.25
Patient01124_Plane3_2_of_4.png,Doc_A,senior,M4,0.25
Patient01124_Plane3_2_of_4.png,Doc_A,senior,M5,0.25
Patient01407_Plane3_1_of_2.png,Doc_A,senior,M2,0.3333333333333333
Patient01407_Plane3_1_of_2.png,Doc_A,senior,M3,0.3333333333333333
Patient01407_Plane3_1_of_2.png,Doc_A,senior,M5,0.3333333333333333
Patient01470_Plane3_1_of_2.png,Doc_A,senior,M4,0.5
Patient01470_Plane3_1_of_2.png,Doc_A,senior,M5,0.5
Patient00168_Plane3_3_of_3.png,Doc_A,senior,M4,0.5
Patient00168_Plane3_3_of_3.png,Doc_A,senior,M5,0.5
Patient01374_Plane3_2_of_2.png,Doc_A,senior,M3,0.3333333333333333
Patient01374_Plane3_2_of_2.png,Doc_A,senior,M4,0.3333333333333333
Patient01374_Plane3_2_of_2.png,Doc_A,senior,M5,0.3333333333333333
Patient01442_Plane3_2_of_3.png,Doc_A,senior,M2,0.25
Patient01442_Plane3_2_of_3.png,Doc_A,senior,M3,0.25
Patient01442_Plane3_2_of_3.png,Doc_A,senior,M4,0.25
Patient01442_Plane3_2_of_3.png,Doc_A,senior,M5,0.25
Patient00829_Plane3_4_of_5.png,Doc_A,senior,M2,0.25
Patient00829_Plane3_4_of_5.png,Doc_A,senior,M3,0.25
Patient00829_Plane3_4_of_5.png,Doc_A,senior,M4,0.25
Patient00829_Plane3_4_of_5.png,Doc_A,senior,M5,0.25
Patient00721_Plane3_3_of_3.png,Doc_A,senior,M3,0.3333333333333333
Patient00721_Plane3_3_of_3.png,Doc_A,senior,M4,0.3333333333333333
Patient00721_Plane3_3_of_3.png,Doc_A,senior,M5,0.3333333333333333
Patient01751_Plane3_2_of_2.png,Doc_A,senior,M5,1.0
Patient01413_Plane3_2_of_4.png,Doc_A,senior,M2,0.3333333333333333
Patient01413_Plane3_2_of_4.png,Doc_A,senior,M4,0.3333333333333333
Patient01413_Plane3_2_of_4.png,Doc_A,senior,M5,0.3333333333333333
Patient01610_Plane3_1_of_9.png,Doc_A,senior,M2,1.0
Patient01068_Plane3_3_of_5.png,Doc_A,senior,M3,1.0
Patient01680_Plane3_2_of_8.png,Doc_A,senior,M4,0.5
Patient01680_Plane3_2_of_8.png,Doc_A,senior,M5,0.5
Patient01032_Plane3_3_of_3.png,Doc_A,senior,M3,0.5
Patient01032_Plane3_3_of_3.png,Doc_A,senior,M5,0.5
Patient00759_Plane3_1_of_4.png,Doc_A,senior,M2,0.25
Patient00759_Plane3_1_of_4.png,Doc_A,senior,M3,0.25
Patient00759_Plane3_1_of_4.png,Doc_A,senior,M4,0.25
Patient00759_Plane3_1_of_4.png,Doc_A,senior,M5,0.25
Patient00716_Plane3_6_of_6.png,Doc_A,senior,M5,1.0
Patient01776_Plane3_3_of_5.png,Doc_A,senior,M3,0.5
Patient01776_Plane3_3_of_5.png,Doc_A,senior,M5,0.5
Patient01446_Plane3_3_of_3.png,Doc_A,senior,M3,0.3333333333333333
Patient01446_Plane3_3_of_3.png,Doc_A,senior,M4,0.3333333333333333
Patient01446_Plane3_3_of_3.png,Doc_A,senior,M5,0.3333333333333333
Patient01102_Plane3_2_of_2.png,Doc_A,senior,M3,0.5
Patient01102_Plane3_2_of_2.png,Doc_A,senior,M5,0.5
Patient01404_Plane3_2_of_2.png,Doc_A,senior,M4,0.5
Patient01404_Plane3_2_of_2.png,Doc_A,senior,M5,0.5
Patient01126_Plane3_5_of_5.png,Doc_A,senior,M2,0.25
Patient01126_Plane3_5_of_5.png,Doc_A,senior,M3,0.25
Patient01126_Plane3_5_of_5.png,Doc_A,senior,M4,0.25
