doctor,experience,count,mean,median,std,min,max
Doc_A,senior,30,0.7603579984756942,0.8019450955785302,0.22955624692031834,0.10540925533894598,0.9746794344808963
Doc_B,senior,27,0.7294391146305564,0.7071067811865475,0.25121391062111365,-0.28867513459481287,0.9746794344808963
Doc_C,junior,26,0.7470200678067613,0.7071067811865475,0.10580649593147141,0.4472135954999579,0.9486832980505137
Doc_D,junior,24,0.6618499891215092,0.7071067811865475,0.2274604964302871,0.10540925533894598,0.9746794344808963
Doc_E,non-expert,30,0.6328013974737631,0.7071067811865475,0.28275182048001773,0.10540925533894598,0.9746794344808963
Doc_F,non-expert,28,0.7586079386410033,0.843404042726281,0.23076794985502214,0.0,0.9746794344808963
