doctor,experience,count,mean,median,std,min,max
Doc_A,senior,30,0.6524389286943062,0.7448652866557369,0.33672406397192556,-0.28867513459481287,0.9746794344808963
Doc_B,senior,28,0.6519607450682626,0.7071067811865475,0.36110650194374166,-0.9486832980505137,0.9746794344808963
Doc_C,junior,26,0.6956749939732576,0.7071067811865475,0.3169472079834403,-0.7071067811865475,0.9486832980505137
Doc_D,junior,28,0.639701887668134,0.8282974094132667,0.36339413195175835,-0.28867513459481287,0.9486832980505137
Doc_E,non-expert,30,0.6346672317306118,0.7071067811865475,0.37120621131300674,-0.6668859288553503,0.9746794344808963
Doc_F,non-expert,30,0.6457292618416404,0.7071067811865475,0.33825331131168124,-0.8660254037844386,0.9746794344808963
