img,doctor,experience,top_model,weight
032_HC.png,Doc_B,senior,M4,0.5
032_HC.png,Doc_B,senior,M5,0.5
026_2HC.png,Doc_B,senior,M4,0.5
026_2HC.png,Doc_B,senior,M5,0.5
160_HC.png,Doc_B,senior,M2,0.25
160_HC.png,Doc_B,senior,M3,0.25
160_HC.png,Doc_B,senior,M4,0.25
160_HC.png,Doc_B,senior,M5,0.25
350_HC.png,Doc_B,senior,M2,0.25
350_HC.png,Doc_B,senior,M3,0.25
350_HC.png,Doc_B,senior,M4,0.25
350_HC.png,Doc_B,senior,M5,0.25
712_2HC.png,Doc_B,senior,M2,0.25
712_2HC.png,Doc_B,senior,M3,0.25
712_2HC.png,Doc_B,senior,M4,0.25
712_2HC.png,Doc_B,senior,M5,0.25
058_HC.png,Doc_B,senior,M2,0.25
058_HC.png,Doc_B,senior,M3,0.25
058_HC.png,Doc_B,senior,M4,0.25
058_HC.png,Doc_B,senior,M5,0.25
072_HC.png,Doc_B,senior,M3,0.5
072_HC.png,Doc_B,senior,M4,0.5
719_HC.png,Doc_B,senior,M2,0.25
719_HC.png,Doc_B,senior,M3,0.25
719_HC.png,Doc_B,senior,M4,0.25
719_HC.png,Doc_B,senior,M5,0.25
352_2HC.png,Doc_B,senior,M2,0.25
352_2HC.png,Doc_B,senior,M3,0.25
352_2HC.png,Doc_B,senior,M4,0.25
352_2HC.png,Doc_B,senior,M5,0.25
375_HC.png,Doc_B,senior,M1,0.2
375_HC.png,Doc_B,senior,M2,0.2
375_HC.png,Doc_B,senior,M3,0.2
375_HC.png,Doc_B,senior,M4,0.2
375_HC.png,Doc_B,senior,M5,0.2
057_HC.png,Doc_B,senior,M1,1.0
035_HC.png,Doc_B,senior,M2,0.25
035_HC.png,Doc_B,senior,M3,0.25
035_HC.png,Doc_B,senior,M4,0.25
035_HC.png,Doc_B,senior,M5,0.25
357_HC.png,Doc_B,senior,M2,0.25
357_HC.png,Doc_B,senior,M3,0.25
357_HC.png,Doc_B,senior,M4,0.25
357_HC.png,Doc_B,senior,M5,0.25
708_HC.png,Doc_C,junior,M3,0.3333333333333333
708_HC.png,Doc_C,junior,M4,0.3333333333333333
708_HC.png,Doc_C,junior,M5,0.3333333333333333
110_HC.png,Doc_C,junior,M4,0.5
110_HC.png,Doc_C,junior,M5,0.5
089_HC.png,Doc_C,junior,M2,0.25
089_HC.png,Doc_C,junior,M3,0.25
089_HC.png,Doc_C,junior,M4,0.25
089_HC.png,Doc_C,junior,M5,0.25
592_HC.png,Doc_C,junior,M2,0.25
592_HC.png,Doc_C,junior,M3,0.25
592_HC.png,Doc_C,junior,M4,0.25
592_HC.png,Doc_C,junior,M5,0.25
380_HC.png,Doc_C,junior,M4,0.5
380_HC.png,Doc_C,junior,M5,0.5
771_HC.png,Doc_C,junior,M2,0.25
771_HC.png,Doc_C,junior,M3,0.25
771_HC.png,Doc_C,junior,M4,0.25
771_HC.png,Doc_C,junior,M5,0.25
519_HC.png,Doc_C,junior,M2,0.25
519_HC.png,Doc_C,junior,M3,0.25
519_HC.png,Doc_C,junior,M4,0.25
519_HC.png,Doc_C,junior,M5,0.25
561_2HC.png,Doc_C,junior,M2,0.25
561_2HC.png,Doc_C,junior,M3,0.25
561_2HC.png,Doc_C,junior,M4,0.25
561_2HC.png,Doc_C,junior,M5,0.25
439_HC.png,Doc_C,junior,M1,1.0
493_HC.png,Doc_C,junior,M2,0.25
493_HC.png,Doc_C,junior,M3,0.25
493_HC.png,Doc_C,junior,M4,0.25
493_HC.png,Doc_C,junior,M5,0.25
473_HC.png,Doc_C,junior,M1,0.2
473_HC.png,Doc_C,junior,M2,0.2
473_HC.png,Doc_C,junior,M3,0.2
473_HC.png,Doc_C,junior,M4,0.2
473_HC.png,Doc_C,junior,M5,0.2
510_HC.png,Doc_C,junior,M5,1.0
512_HC.png,Doc_C,junior,M2,0.25
512_HC.png,Doc_C,junior,M3,0.25
512_HC.png,Doc_C,junior,M4,0.25
512_HC.png,Doc_C,junior,M5,0.25
193_2HC.png,Doc_C,junior,M3,0.3333333333333333
193_2HC.png,Doc_C,junior,M4,0.3333333333333333
193_2HC.png,Doc_C,junior,M5,0.3333333333333333
001_HC.png,Doc_C,junior,M4,0.5
001_HC.png,Doc_C,junior,M5,0.5
208_HC.png,Doc_C,junior,M2,0.25
208_HC.png,Doc_C,junior,M3,0.25
208_HC.png,Doc_C,junior,M4,0.25
208_HC.png,Doc_C,junior,M5,0.25
178_HC.png,Doc_C,junior,M2,0.25
178_HC.png,Doc_C,junior,M3,0.25
178_HC.png,Doc_C,junior,M4,0.25
178_HC.png,Doc_C,junior,M5,0.25
032_HC.png,Doc_C,junior,M4,0.5
032_HC.png,Doc_C,junior,M5,0.5
026_2HC.png,Doc_C,junior,M4,0.5
026_2HC.png,Doc_C,junior,M5,0.5
160_HC.png,Doc_C,junior,M2,0.25
160_HC.png,Doc_C,junior,M3,0.25
160_HC.png,Doc_C,junior,M4,0.25
160_HC.png,Doc_C,junior,M5,0.25
350_HC.png,Doc_C,junior,M1,0.2
350_HC.png,Doc_C,junior,M2,0.2
350_HC.png,Doc_C,junior,M3,0.2
350_HC.png,Doc_C,junior,M4,0.2
350_HC.png,Doc_C,junior,M5,0.2
712_2HC.png,Doc_C,junior,M3,0.5
712_2HC.png,Doc_C,junior,M5,0.5
058_HC.png,Doc_C,junior,M2,0.25
058_HC.png,Doc_C,junior,M3,0.25
058_HC.png,Doc_C,junior,M4,0.25
058_HC.png,Doc_C,junior,M5,0.25
072_HC.png,Doc_C,junior,M2,0.25
072_HC.png,Doc_C,junior,M3,0.25
072_HC.png,Doc_C,junior,M4,0.25
072_HC.png,Doc_C,junior,M5,0.25
719_HC.png,Doc_C,junior,M3,0.3333333333333333
719_HC.png,Doc_C,junior,M4,0.3333333333333333
719_HC.png,Doc_C,junior,M5,0.3333333333333333
352_2HC.png,Doc_C,junior,M2,0.25
352_2HC.png,Doc_C,junior,M3,0.25
352_2HC.png,Doc_C,junior,M4,0.25
352_2HC.png,Doc_C,junior,M5,0.25
375_HC.png,Doc_C,junior,M1,0.2
375_HC.png,Doc_C,junior,M2,0.2
375_HC.png,Doc_C,junior,M3,0.2
375_HC.png,Doc_C,junior,M4,0.2
375_HC.png,Doc_C,junior,M5,0.2
057_HC.png,Doc_C,junior,M1,0.2
057_HC.png,Doc_C,junior,M2,0.2
057_HC.png,Doc_C,junior,M3,0.2
057_HC.png,Doc_C,junior,M4,0.2
057_HC.png,Doc_C,junior,M5,0.2
035_HC.png,Doc_C,junior,M2,0.3333333333333333
035_HC.png,Doc_C,junior,M3,0.3333333333333333
035_HC.png,Doc_C,junior,M4,0.3333333333333333
357_HC.png,Doc_C,junior,M2,0.25
357_HC.png,Doc_C,junior,M3,0.25
357_HC.png,Doc_C,junior,M4,0.25
357_HC.png,Doc_C,junior,M5,0.25
708_HC.png,Doc_D,junior,M4,0.5
708_HC.png,Doc_D,junior,M5,0.5
110_HC.png,Doc_D,junior,M5,1.0
089_HC.png,Doc_D,junior,M3,0.3333333333333333
089_HC.png,Doc_D,junior,M4,0.3333333333333333
089_HC.png,Doc_D,junior,M5,0.3333333333333333
592_HC.png,Doc_D,junior,M3,0.3333333333333333
