experience,count,mean,median,std,min,max
junior,54,0.6666519018150453,0.7071067811865475,0.3397867981127324,-0.7071067811865475,0.9486832980505137
non-expert,60,0.640198246786126,0.7071067811865475,0.3521340940569735,-0.8660254037844386,0.9746794344808963
senior,58,0.6522080814265611,0.7071067811865475,0.34562063497424583,-0.9486832980505137,0.9746794344808963
