,img,doctor,M1,M2,M3,M4,M5
126,519_HC.png,Doc_E,2,4,4,5,5
127,561_2HC.png,Doc_E,3,5,5,5,5
128,439_HC.png,Doc_E,3,4,5,5,5
129,493_HC.png,Doc_E,3,5,5,4,4
130,473_HC.png,Doc_E,3,4,5,5,5
131,510_HC.png,Doc_E,3,4,4,5,5
132,512_HC.png,Doc_E,2,5,5,5,5
133,193_2HC.png,Doc_E,1,2,5,5,3
134,001_HC.png,Doc_E,2,1,1,3,5
135,208_HC.png,Doc_E,1,3,4,5,5
136,178_HC.png,Doc_E,1,4,5,5,5
137,032_HC.png,Doc_E,1,3,4,5,5
138,026_2HC.png,Doc_E,2,3,1,5,4
139,160_HC.png,Doc_E,1,5,5,5,5
140,350_HC.png,Doc_E,4,5,5,5,4
141,712_2HC.png,Doc_E,2,4,5,4,5
142,058_HC.png,Doc_E,1,5,5,5,2
143,072_HC.png,Doc_E,1,5,5,5,5
144,719_HC.png,Doc_E,3,4,5,5,4
145,352_2HC.png,Doc_E,2,4,4,3,3
146,375_HC.png,Doc_E,4,5,5,5,5
147,057_HC.png,Doc_E,3,5,4,1,1
148,035_HC.png,Doc_E,1,4,5,2,4
149,357_HC.png,Doc_E,1,4,5,5,5
150,708_HC.png,Doc_F,4,5,5,5,5
151,110_HC.png,Doc_F,1,2,3,5,4
152,089_HC.png,Doc_F,1,4,5,4,5
153,592_HC.png,Doc_F,4,5,5,5,5
154,380_HC.png,Doc_F,3,3,3,5,4
155,771_HC.png,Doc_F,4,5,5,5,5
156,519_HC.png,Doc_F,3,5,4,5,5
157,561_2HC.png,Doc_F,4,4,5,5,5
158,439_HC.png,Doc_F,5,4,4,5,5
159,493_HC.png,Doc_F,3,5,5,5,4
160,473_HC.png,Doc_F,4,5,5,4,5
161,510_HC.png,Doc_F,4,5,5,5,5
162,512_HC.png,Doc_F,4,5,5,5,5
163,193_2HC.png,Doc_F,2,2,5,4,5
164,208_HC.png,Doc_F,3,4,5,4,4
165,001_HC.png,Doc_F,1,1,1,4,4
166,178_HC.png,Doc_F,3,4,4,5,5
167,160_HC.png,Doc_F,3,5,5,5,5
168,350_HC.png,Doc_F,4,5,5,5,5
169,712_2HC.png,Doc_F,4,4,5,5,5
170,058_HC.png,Doc_F,3,5,5,5,5
171,072_HC.png,Doc_F,4,5,5,5,5
172,719_HC.png,Doc_F,4,5,5,5,5
173,352_2HC.png,Doc_F,4,5,5,5,5
174,375_HC.png,Doc_F,4,4,4,5,5
175,057_HC.png,Doc_F,5,5,5,4,4
176,035_HC.png,Doc_F,3,4,4,5,4
177,357_HC.png,Doc_F,3,5,5,5,5
178,026_2HC.png,Doc_F,2,2,1,5,4
179,032_HC.png,Doc_F,2,3,3,4,5
180,708_HC.png,AI,1,2,3,4,5
181,110_HC.png,AI,1,2,3,4,5
182,089_HC.png,AI,1,2,3,4,5
183,592_HC.png,AI,1,2,3,4,5
184,380_HC.png,AI,1,2,3,4,5
185,771_HC.png,AI,1,2,3,4,5
186,519_HC.png,AI,1,2,3,4,5
187,561_2HC.png,AI,1,2,3,4,5
188,439_HC.png,AI,1,2,3,4,5
189,493_HC.png,AI,1,2,3,4,5
190,473_HC.png,AI,1,2,3,4,5
191,510_HC.png,AI,1,2,3,4,5
192,512_HC.png,AI,1,2,3,4,5
193,193_2HC.png,AI,1,2,3,4,5
194,001_HC.png,AI,1,2,3,4,5
195,208_HC.png,AI,1,2,3,4,5
196,178_HC.png,AI,1,2,3,4,5
197,032_HC.png,AI,1,2,3,4,5
198,026_2HC.png,AI,1,2,3,4,5
199,160_HC.png,AI,1,2,3,4,5
200,350_HC.png,AI,1,2,3,4,5
201,712_2HC.png,AI,1,2,3,4,5
202,058_HC.png,AI,1,2,3,4,5
203,072_HC.png,AI,1,2,3,4,5
204,719_HC.png,AI,1,2,3,4,5
205,352_2HC.png,AI,1,2,3,4,5
206,375_HC.png,AI,1,2,3,4,5
207,057_HC.png,AI,1,2,3,4,5
208,035_HC.png,AI,1,2,3,4,5
209,357_HC.png,AI,1,2,3,4,5
