,img,doctor,M1,M2,M3,M4,M5
85,Patient00873_Plane3_2_of_3.png,Doc_C,1,3,3,3,3
86,Patient00752_Plane3_1_of_3.png,Doc_C,1,3,3,3,3
87,Patient00790_Plane3_2_of_5.png,Doc_C,1,3,3,4,4
88,Patient00912_Plane3_3_of_5.png,Doc_C,1,1,3,3,3
89,Patient01668_Plane3_2_of_3.png,Doc_C,4,4,4,4,4
90,Patient01124_Plane3_2_of_4.png,Doc_D,4,5,5,5,5
91,Patient01407_Plane3_1_of_2.png,Doc_D,5,5,5,5,5
92,Patient01470_Plane3_1_of_2.png,Doc_D,2,3,5,5,5
93,Patient00168_Plane3_3_of_3.png,Doc_D,1,3,5,5,5
94,Patient01374_Plane3_2_of_2.png,Doc_D,5,5,5,5,5
95,Patient01442_Plane3_2_of_3.png,Doc_D,5,5,5,5,5
96,Patient00829_Plane3_4_of_5.png,Doc_D,2,5,4,4,5
97,Patient00721_Plane3_3_of_3.png,Doc_D,1,4,5,5,4
98,Patient01751_Plane3_2_of_2.png,Doc_D,1,3,4,3,4
99,Patient01610_Plane3_1_of_9.png,Doc_D,5,5,5,5,5
100,Patient01068_Plane3_3_of_5.png,Doc_D,2,5,5,4,5
101,Patient01680_Plane3_2_of_8.png,Doc_D,3,5,5,5,5
102,Patient01032_Plane3_3_of_3.png,Doc_D,1,4,3,3,4
103,Patient00759_Plane3_1_of_4.png,Doc_D,5,5,5,5,5
104,Patient00716_Plane3_6_of_6.png,Doc_D,1,3,3,2,5
105,Patient01776_Plane3_3_of_5.png,Doc_D,1,4,5,4,4
106,Patient01446_Plane3_3_of_3.png,Doc_D,2,4,5,5,5
107,Patient01102_Plane3_2_of_2.png,Doc_D,3,5,5,5,5
108,Patient01404_Plane3_2_of_2.png,Doc_D,1,4,5,4,4
109,Patient01413_Plane3_2_of_4.png,Doc_D,3,5,5,5,5
110,Patient01126_Plane3_5_of_5.png,Doc_D,3,5,5,5,5
111,Patient00794_Plane3_3_of_3.png,Doc_D,1,2,3,3,4
112,Patient01063_Plane3_2_of_4.png,Doc_D,3,4,4,5,3
113,Patient01704_Plane3_2_of_2.png,Doc_D,3,5,5,4,4
114,Patient01553_Plane3_1_of_7.png,Doc_D,3,5,5,5,5
115,Patient00873_Plane3_2_of_3.png,Doc_D,1,3,4,4,4
116,Patient00752_Plane3_1_of_3.png,Doc_D,1,3,4,4,4
117,Patient00790_Plane3_2_of_5.png,Doc_D,3,3,3,4,4
118,Patient00912_Plane3_3_of_5.png,Doc_D,1,4,5,4,5
119,Patient01668_Plane3_2_of_3.png,Doc_D,5,5,5,5,5
120,Patient01680_Plane3_2_of_8.png,Doc_E,2,3,3,4,4
121,Patient00873_Plane3_2_of_3.png,Doc_E,1,3,4,4,3
122,Patient00829_Plane3_4_of_5.png,Doc_E,1,4,4,3,4
123,Patient01668_Plane3_2_of_3.png,Doc_E,3,4,4,4,4
124,Patient01404_Plane3_2_of_2.png,Doc_E,1,3,5,4,4
125,Patient01776_Plane3_3_of_5.png,Doc_E,1,3,5,4,3
126,Patient01553_Plane3_1_of_7.png,Doc_E,2,5,4,4,4
127,Patient01610_Plane3_1_of_9.png,Doc_E,2,4,3,3,3
128,Patient01407_Plane3_1_of_2.png,Doc_E,4,5,5,4,5
129,Patient01442_Plane3_2_of_3.png,Doc_E,4,5,5,5,5
130,Patient01413_Plane3_2_of_4.png,Doc_E,3,5,5,5,5
131,Patient01446_Plane3_3_of_3.png,Doc_E,1,2,4,3,4
132,Patient01470_Plane3_1_of_2.png,Doc_E,1,4,3,4,5
133,Patient01063_Plane3_2_of_4.png,Doc_E,1,3,2,4,4
134,Patient00794_Plane3_3_of_3.png,Doc_E,1,2,3,4,4
135,Patient01068_Plane3_3_of_5.png,Doc_E,1,4,5,4,5
136,Patient01032_Plane3_3_of_3.png,Doc_E,1,2,4,3,3
137,Patient00716_Plane3_6_of_6.png,Doc_E,1,2,2,2,3
138,Patient00168_Plane3_3_of_3.png,Doc_E,1,2,4,4,4
139,Patient00912_Plane3_3_of_5.png,Doc_E,1,2,3,4,4
140,Patient01102_Plane3_2_of_2.png,Doc_E,2,5,5,5,5
141,Patient01704_Plane3_2_of_2.png,Doc_E,2,5,5,4,4
142,Patient00759_Plane3_1_of_4.png,Doc_E,2,5,4,4,4
143,Patient00790_Plane3_2_of_5.png,Doc_E,2,3,3,4,5
144,Patient01751_Plane3_2_of_2.png,Doc_E,1,2,3,3,3
145,Patient01124_Plane3_2_of_4.png,Doc_E,2,5,5,4,4
146,Patient01374_Plane3_2_of_2.png,Doc_E,3,3,5,3,5
147,Patient00752_Plane3_1_of_3.png,Doc_E,1,13,3,3,3
148,Patient00721_Plane3_3_of_3.png,Doc_E,1,2,4,15,5
149,Patient01126_Plane3_5_of_5.png,Doc_E,2,4,4,4,4
150,Patient00716_Plane3_6_of_6.png,Doc_F,2,4,3,3,4
151,Patient01068_Plane3_3_of_5.png,Doc_F,3,4,4,5,5
152,Patient00759_Plane3_1_of_4.png,Doc_F,5,5,5,5,5
153,Patient01610_Plane3_1_of_9.png,Doc_F,3,4,4,4,4
154,Patient01553_Plane3_1_of_7.png,Doc_F,3,4,4,4,4
155,Patient01063_Plane3_2_of_4.png,Doc_F,3,4,4,4,5
156,Patient00168_Plane3_3_of_3.png,Doc_F,3,4,5,5,5
157,Patient00790_Plane3_2_of_5.png,Doc_F,3,4,4,4,4
158,Patient01407_Plane3_1_of_2.png,Doc_F,4,5,5,5,5
159,Patient01668_Plane3_2_of_3.png,Doc_F,4,4,5,5,5
160,Patient00912_Plane3_3_of_5.png,Doc_F,2,3,5,4,5
161,Patient00752_Plane3_1_of_3.png,Doc_F,1,3,3,4,5
162,Patient00794_Plane3_3_of_3.png,Doc_F,2,3,4,4,5
163,Patient01032_Plane3_3_of_3.png,Doc_F,2,4,4,4,4
164,Patient00721_Plane3_3_of_3.png,Doc_F,1,4,5,5,5
165,Patient01404_Plane3_2_of_2.png,Doc_F,1,3,4,3,3
166,Patient01680_Plane3_2_of_8.png,Doc_F,3,3,3,5,5
167,Patient00829_Plane3_4_of_5.png,Doc_F,3,4,5,5,5
168,Patient01446_Plane3_3_of_3.png,Doc_F,2,3,4,4,5
169,Patient01102_Plane3_2_of_2.png,Doc_F,3,4,5,5,5
170,Patient01124_Plane3_2_of_4.png,Doc_F,3,5,5,5,5
171,Patient01470_Plane3_1_of_2.png,Doc_F,2,4,4,4,5
172,Patient00873_Plane3_2_of_3.png,Doc_F,1,3,4,4,5
173,Patient01704_Plane3_2_of_2.png,Doc_F,3,5,4,4,4
174,Patient01374_Plane3_2_of_2.png,Doc_F,4,4,4,4,4
175,Patient01442_Plane3_2_of_3.png,Doc_F,4,5,5,5,4
176,Patient01776_Plane3_3_of_5.png,Doc_F,2,4,4,5,4
177,Patient01413_Plane3_2_of_4.png,Doc_F,3,5,5,5,5
178,Patient01751_Plane3_2_of_2.png,Doc_F,2,3,3,4,4
179,Patient01126_Plane3_5_of_5.png,Doc_F,3,5,5,5,5
180,Patient01124_Plane3_2_of_4.png,AI,1,2,3,4,5
181,Patient01407_Plane3_1_of_2.png,AI,1,2,3,4,5
182,Patient01470_Plane3_1_of_2.png,AI,1,2,3,4,5
183,Patient00168_Plane3_3_of_3.png,AI,1,2,3,4,5
184,Patient01374_Plane3_2_of_2.png,AI,1,2,3,4,5
185,Patient01442_Plane3_2_of_3.png,AI,1,2,3,4,5
186,Patient00829_Plane3_4_of_5.png,AI,1,2,3,4,5
187,Patient00721_Plane3_3_of_3.png,AI,1,2,3,4,5
188,Patient01751_Plane3_2_of_2.png,AI,1,2,3,4,5
189,Patient01413_Plane3_2_of_4.png,AI,1,2,3,4,5
190,Patient01610_Plane3_1_of_9.png,AI,1,2,3,4,5
191,Patient01068_Plane3_3_of_5.png,AI,1,2,3,4,5
192,Patient01680_Plane3_2_of_8.png,AI,1,2,3,4,5
193,Patient01032_Plane3_3_of_3.png,AI,1,2,3,4,5
194,Patient00759_Plane3_1_of_4.png,AI,1,2,3,4,5
195,Patient00716_Plane3_6_of_6.png,AI,1,2,3,4,5
196,Patient01776_Plane3_3_of_5.png,AI,1,2,3,4,5
197,Patient01446_Plane3_3_of_3.png,AI,1,2,3,4,5
198,Patient01102_Plane3_2_of_2.png,AI,1,2,3,4,5
199,Patient01404_Plane3_2_of_2.png,AI,1,2,3,4,5
200,Patient01126_Plane3_5_of_5.png,AI,1,2,3,4,5
201,Patient00794_Plane3_3_of_3.png,AI,1,2,3,4,5
202,Patient01063_Plane3_2_of_4.png,AI,1,2,3,4,5
203,Patient01704_Plane3_2_of_2.png,AI,1,2,3,4,5
204,Patient01553_Plane3_1_of_7.png,AI,1,2,3,4,5
205,Patient00873_Plane3_2_of_3.png,AI,1,2,3,4,5
206,Patient00752_Plane3_1_of_3.png,AI,1,2,3,4,5
207,Patient00790_Plane3_2_of_5.png,AI,1,2,3,4,5
208,Patient00912_Plane3_3_of_5.png,AI,1,2,3,4,5
209,Patient01668_Plane3_2_of_3.png,AI,1,2,3,4,5
